ANO,DEPARTAMENTO,CODIGO MUNICIPIO,MUNICIPIO,META,DOSIS APLICADAS,COBERTURA
2009,BOYACÁ,15226,Cuítiva,32,44,137.50
2009,BOYACÁ,15232,Chiquiza,127,94,74.02
2009,BOYACÁ,15236,Chivor,44,23,52.27
2009,BOYACÁ,15238,Duitama,1870,1980,105.88
2009,BOYACÁ,15244,El Cocuy,105,69,65.71
2009,BOYACÁ,15248,El Espino,66,44,66.67
2009,BOYACÁ,15272,Firavitoba,96,92,95.83
2009,BOYACÁ,15276,Floresta,70,51,72.86
2009,BOYACÁ,15293,Gachantivá,62,51,82.26
2009,BOYACÁ,15296,Gámeza,108,108,100.00
2009,BOYACÁ,15299,Garagoa,306,268,87.58
2009,BOYACÁ,15317,Guacamayas,30,22,73.33
2009,BOYACÁ,15322,Guateque,160,190,118.75
2009,BOYACÁ,15325,Guayatá,64,60,93.75
2009,BOYACÁ,15332,Guicán,195,80,41.03
2009,BOYACÁ,15362,Iza,33,33,100.00
2009,BOYACÁ,15367,Jenesano,134,121,90.30
2009,BOYACÁ,15368,Jericó,75,83,110.67
2009,BOYACÁ,15377,Labranzagrande,89,58,65.17
2009,BOYACÁ,15380,La Capilla,39,20,51.28
2009,BOYACÁ,15401,La Victoria,32,41,128.13
2009,BOYACÁ,15403,La Uvita,49,42,85.71
2009,BOYACÁ,15407,Villa de Leiva,237,229,96.62
2009,BOYACÁ,15425,Macanal,80,48,60.00
2009,BOYACÁ,15442,Maripí,180,86,47.78
2009,BOYACÁ,15455,Miraflores,157,155,98.73
2009,BOYACÁ,15464,Mongua,102,136,133.33
2009,BOYACÁ,15466,Monguí,94,89,94.68
2009,BOYACÁ,15469,Moniquirá,391,353,90.28
2009,BOYACÁ,15476,Motavita,159,166,104.40
2009,BOYACÁ,15480,Muzo,204,309,151.47
2009,BOYACÁ,15491,Nobsa,284,289,101.76
2009,BOYACÁ,15494,Nuevo Colón,127,82,64.57
2009,BOYACÁ,15500,Oicatá,57,54,94.74
2009,BOYACÁ,15507,Otanche,254,138,54.33
2009,BOYACÁ,15511,Pachavita,46,42,91.30
2009,BOYACÁ,15514,Páez,70,46,65.71
2009,BOYACÁ,15516,Paipa,532,537,100.94
2009,BOYACÁ,15518,Pajarito,35,38,108.57
2009,BOYACÁ,15522,Panqueba,23,20,86.96
2009,BOYACÁ,15531,Pauna,217,119,54.84
2009,BOYACÁ,15533,Paya,44,20,45.45
2009,BOYACÁ,15537,Paz del Río,94,90,95.74
2009,BOYACÁ,15542,Pesca,154,141,91.56
2009,BOYACÁ,15550,Pisba,25,30,120.00
2009,BOYACÁ,15572,Puerto Boyacá,1078,1059,98.24
2009,BOYACÁ,15580,Quipama,145,64,44.14
2009,BOYACÁ,15599,Ramiriquí,207,189,91.30
2009,BOYACÁ,15600,Ráquira,293,107,36.52
2009,BOYACÁ,15621,Rondón,51,49,96.08
2009,BOYACÁ,15632,Saboyá,248,207,83.47
2009,BOYACÁ,15638,Sáchica,91,92,101.10
2009,BOYACÁ,15646,Samacá,426,424,99.53
2009,BOYACÁ,15660,San Eduardo,42,32,76.19
2009,BOYACÁ,15664,San José de Pare,104,67,64.42
2009,BOYACÁ,15667,San Luis de Gaceno,111,117,105.41
2009,BOYACÁ,15673,San Mateo,72,54,75.00
2009,BOYACÁ,15676,San Miguel de Sema,87,50,57.47
2009,BOYACÁ,15681,San Pablo de Borbur,204,181,88.73
2009,BOYACÁ,15686,Santana,164,163,99.39
2009,BOYACÁ,15690,Santa María,92,79,85.87
2009,BOYACÁ,15693,Santa Rosa de Viterbo,219,126,57.53
2009,BOYACÁ,15696,Santa Sofía,55,52,94.55
2009,BOYACÁ,15720,Sativanorte,44,27,61.36
2009,BOYACÁ,15723,Sativasur,20,10,50.00
2009,BOYACÁ,15740,Siachoque,208,176,84.62
2009,BOYACÁ,15753,Soatá,123,125,101.63
2009,BOYACÁ,15755,Socotá,158,188,118.99
2009,BOYACÁ,15757,Socha,135,166,122.96
2009,BOYACÁ,15759,Sogamoso,1895,2177,114.88
2009,BOYACÁ,15761,Somondoco,58,19,32.76
2009,BOYACÁ,15762,Sora,69,47,68.12
2009,BOYACÁ,15763,Sotaquirá,186,161,86.56
2009,BOYACÁ,15764,Soracá,127,114,89.76
2009,BOYACÁ,15774,Susacón,58,40,68.97
2009,BOYACÁ,15776,Sutamarchán,114,88,77.19
2009,BOYACÁ,15778,Sutatenza,65,32,49.23
2009,BOYACÁ,15790,Tasco,128,131,102.34
2009,BOYACÁ,15798,Tenza,62,40,64.52
2009,BOYACÁ,15804,Tibaná,168,135,80.36
2009,BOYACÁ,15806,Tibasosa,243,147,60.49
2009,BOYACÁ,15808,Tinjacá,56,39,69.64
2009,BOYACÁ,15810,Tipacoque,62,55,88.71
2009,BOYACÁ,15814,Toca,203,179,88.18
2009,BOYACÁ,15816,Toguí,112,79,70.54
2009,BOYACÁ,15820,Tópaga,72,67,93.06
2009,BOYACÁ,15822,Tota,90,104,115.56
2009,BOYACÁ,15832,Tununguá,34,23,67.65
2009,BOYACÁ,15835,Turmequé,120,120,100.00
2009,BOYACÁ,15837,Tuta,186,101,54.30
2009,BOYACÁ,15839,Tutazá,31,38,122.58
2009,BOYACÁ,15842,Umbita,231,149,64.50
2009,BOYACÁ,15861,Ventaquemada,312,261,83.65
2009,BOYACÁ,15879,Viracachá,65,53,81.54
2009,BOYACÁ,15897,Zetaquirá,89,85,95.51
2009,CALDAS,17001,Manizales,5362,4636,86.46
2009,CALDAS,17013,Aguadas,428,338,78.97
2009,CALDAS,17042,Anserma,614,492,80.13
2009,CALDAS,17050,Aranzazu,238,172,72.27
2009,CALDAS,17088,Belalcázar,222,178,80.18
2009,CALDAS,17174,Chinchiná,954,684,71.70
2009,CALDAS,17272,Filadelfia,232,119,51.29
2009,CALDAS,17380,La Dorada,1460,1443,98.84
2009,CALDAS,17388,La Merced,120,67,55.83
2009,CALDAS,17433,Manzanares,463,256,55.29
2009,CALDAS,17442,Marmato,195,112,57.44
2009,CALDAS,17444,Marquetalia,324,217,66.98
2009,CALDAS,17446,Marulanda,79,35,44.30
2009,CALDAS,17486,Neira,614,342,55.70
2009,CALDAS,17495,Norcasia,163,126,77.30
2009,CALDAS,17513,Pácora,345,160,46.38
2009,CALDAS,17524,Palestina,363,227,62.53
2009,CALDAS,17541,Pensilvania,520,428,82.31
2009,CALDAS,17614,Riosucio,1011,736,72.80
2009,CALDAS,17616,Risaralda,209,172,82.30
2009,CALDAS,17653,Salamina,376,236,62.77
2009,CALDAS,17662,Samaná,534,311,58.24
2009,CALDAS,17665,San José de Fragua,148,75,50.68
2009,CALDAS,17777,Supía,479,390,81.42
2009,CALDAS,17867,Victoria,167,132,79.04
2009,CALDAS,17873,Villamaría,834,625,74.94
2009,CALDAS,17877,Viterbo,255,180,70.59
2009,CAQUETÁ,18001,Florencia,3243,3002,92.57
2009,CAQUETÁ,18029,Albania,166,120,72.29
2009,CAQUETÁ,18094,Belén de los Andaquíes,313,252,80.51
2009,CAQUETÁ,18150,Cartagena del Chairá,880,868,98.64
2009,CAQUETÁ,18205,Curillo,295,317,107.46
2009,CAQUETÁ,18247,El Doncello,481,454,94.39
2009,CAQUETÁ,18256,El Paujil,488,277,56.76
2009,CAQUETÁ,18410,La Montañita,592,377,63.68
2009,CAQUETÁ,18460,Milán,321,339,105.61
2009,CAQUETÁ,18479,Morelia,98,74,75.51
2009,CAQUETÁ,18592,Puerto Rico,857,783,91.37
2009,CAQUETÁ,18610,San José del Fragua,373,288,77.21
2009,CAQUETÁ,18753,San Vicente del Caguán,1587,1533,96.60
2009,CAQUETÁ,18756,Solano,548,237,43.25
2009,CAQUETÁ,18785,Solita,238,211,88.66
2009,CAQUETÁ,18860,Valparaíso,295,213,72.20
2009,CAUCA,19001,Popayán,3805,4110,108.02
2009,CAUCA,19022,Almaguer,411,390,94.89
2009,CAUCA,19050,Argelia,563,427,75.84
2009,CAUCA,19075,Balboa,527,359,68.12
2009,CAUCA,19100,Bolívar,789,745,94.42
2009,CAUCA,19110,Buenos Aires,603,635,105.31
2009,CAUCA,19130,Cajibío,797,621,77.92
2009,CAUCA,19137,Caldono,787,805,102.29
2009,CAUCA,19142,Caloto,311,355,114.15
2009,CAUCA,19212,Corinto,606,590,97.36
2009,CAUCA,19256,El Tambo,945,656,69.42
2009,CAUCA,19290,Florencia,112,104,92.86
2009,CAUCA,19300,Guachene,464,369,79.53
2009,CAUCA,19318,Guapi,762,809,106.17
2009,CAUCA,19355,Inza,739,676,91.47
2009,CAUCA,19364,Jambaló,422,401,95.02
2009,CAUCA,19392,La Sierra,174,166,95.40
2009,CAUCA,19397,La Vega,845,661,78.22
2009,CAUCA,19418,López,535,391,73.08
2009,CAUCA,19450,Mercaderes,355,284,80.00
2009,CAUCA,19455,Miranda,786,970,123.41
2009,CAUCA,19473,Morales,553,569,102.89
2009,CAUCA,19513,Padilla,159,145,91.19
2009,CAUCA,19517,Páez,886,828,93.45
2009,CAUCA,19532,Patía (El Bordo),700,667,95.29
2009,CAUCA,19533,Piamonte,180,147,81.67
2009,CAUCA,19548,Piendamó,743,546,73.49
2009,CAUCA,19573,Puerto Tejada,821,855,104.14
2009,CAUCA,19585,Puracé,316,298,94.30
2009,CAUCA,19622,Rosas,218,182,83.49
2009,CAUCA,19693,San Sebastián,222,217,97.75
2009,CAUCA,19698,Santander de Quilichao,1497,1424,95.12
2009,CAUCA,19701,Santa Rosa,245,233,95.10
2009,CAUCA,19743,Silvia,676,458,67.75
2009,CAUCA,19760,Sotará,284,213,75.00
2009,CAUCA,19780,Suárez,421,415,98.57
2009,CAUCA,19785,Sucre,159,147,92.45
2009,CAUCA,19807,Timbío,512,427,83.40
2009,CAUCA,19809,Timbiquí,596,580,97.32
2009,CAUCA,19821,Toribio,701,684,97.57
2009,CAUCA,19824,Totoró,455,415,91.21
2009,CAUCA,19845,Villa Rica,310,273,88.06
2009,CESAR,20001,Valledupar,8511,9293,109.19
2009,CESAR,20011,Aguachica,1916,1839,95.98
2009,CESAR,20013,Agustín Codazzi,1272,1510,118.71
2009,CESAR,20032,Astrea,542,549,101.29
2009,CESAR,20045,Becerril,365,441,120.82
2009,CESAR,20060,Bosconia,906,910,100.44
2009,CESAR,20175,Chimichagua,856,858,100.23
2009,CESAR,20178,Chiriguaná,527,612,116.13
2009,CESAR,20228,Curumaní,650,735,113.08
2009,CESAR,20238,El Copey,661,718,108.62
2009,CESAR,20250,El Paso,589,746,126.66
2009,CESAR,20295,Gamarra,304,247,81.25
2009,CESAR,20310,González,166,94,56.63
2009,CESAR,20383,La Gloria,323,384,118.89
2009,CESAR,20400,La Jagua de Ibirico,566,765,135.16
2009,CESAR,20443,Manaure Balcón del Cesar,311,315,101.29
2009,CESAR,20517,Pailitas,375,443,118.13
2009,CESAR,20550,Pelaya,417,424,101.68
2009,CESAR,20570,Pueblo Bello,565,603,106.73
2009,CESAR,20614,Río de Oro,284,264,92.96
2009,CESAR,20621,Robles (La Paz),553,588,106.33
2009,CESAR,20710,San Alberto,474,562,118.57
2009,CESAR,20750,San Diego,332,372,112.05
2009,CESAR,20770,San Martín,424,407,95.99
2009,CESAR,20787,Tamalameque,340,349,102.65
2009,CÓRDOBA,23001,Montería,8198,8097,98.77
2009,CÓRDOBA,23068,Ayapel,1181,1178,99.75
2009,CÓRDOBA,23079,Buenavista,523,546,104.40
2009,CÓRDOBA,23090,Canalete,495,453,91.52
2009,CÓRDOBA,23162,Cereté,1685,1783,105.82
2009,CÓRDOBA,23168,Chimá,292,213,72.95
2009,CÓRDOBA,23182,Chinú,892,872,97.76
2009,CÓRDOBA,23189,Ciénaga de Oro,1229,1218,99.10
2009,CÓRDOBA,23300,Cotorra,291,301,103.44
2009,CÓRDOBA,23350,La Apartada,357,358,100.28
2009,CÓRDOBA,23417,Lorica,2503,2379,95.05
2009,CÓRDOBA,23419,Los Córdobas,587,643,109.54
2009,CÓRDOBA,23464,Momil,296,207,69.93
2009,CÓRDOBA,23466,Montelíbano,1758,2078,118.20
2009,CÓRDOBA,23500,Moñitos,692,657,94.94
2009,CÓRDOBA,23555,Planeta Rica,1413,1470,104.03
2009,CÓRDOBA,23570,Pueblo Nuevo,873,884,101.26
2009,CÓRDOBA,23574,Puerto Escondido,669,684,102.24
2009,CÓRDOBA,23580,Puerto Libertador,1094,1061,96.98
2009,CÓRDOBA,23586,Purísima,340,333,97.94
2009,CÓRDOBA,23660,Sahagún,1798,1913,106.40
2009,CÓRDOBA,23670,San Andrés de Sotavento,1049,1112,106.01
2009,CÓRDOBA,23672,San Antero,640,628,98.13
2009,CÓRDOBA,23675,San Bernardo del Viento,791,754,95.32
2009,CÓRDOBA,23678,San Carlos,591,595,100.68
2009,CÓRDOBA,23682,San José de Ure,300,102,34.00
2009,CÓRDOBA,23686,San Pelayo,804,722,89.80
2009,CÓRDOBA,23807,Tierralta,2400,2125,88.54
2009,CÓRDOBA,23815,Tuchín,1081,1332,123.22
2009,CÓRDOBA,23855,Valencia,992,1007,101.51
2009,CUNDINAMARCA,25001,Agua de Dios,191,134,70.16
2009,CUNDINAMARCA,25019,Albán,112,92,82.14
2009,CUNDINAMARCA,25035,Anapoima,188,195,103.72
2009,CUNDINAMARCA,25040,Anolaima,218,258,118.35
2009,CUNDINAMARCA,25053,Arbeláez,260,126,48.46
2009,CUNDINAMARCA,25086,Beltrán,41,35,85.37
2009,CUNDINAMARCA,25095,Bituima,48,19,39.58
2009,CUNDINAMARCA,25099,Bojacá,234,110,47.01
2009,CUNDINAMARCA,25120,Cabrera,113,94,83.19
2009,CUNDINAMARCA,25123,Cachipay,204,104,50.98
2009,CUNDINAMARCA,25126,Cajicá,918,712,77.56
2009,CUNDINAMARCA,25148,Caparrapí,295,174,58.98
2009,CUNDINAMARCA,25151,Caqueza,305,274,89.84
2009,CUNDINAMARCA,25154,Carmen de Carupa,152,206,135.53
2009,CUNDINAMARCA,25168,Chaguaní,80,34,42.50
2009,CUNDINAMARCA,25175,Chía,1886,1371,72.69
2009,CUNDINAMARCA,25178,Chipaque,172,132,76.74
2009,CUNDINAMARCA,25181,Choachí,214,137,64.02
2009,CUNDINAMARCA,25183,Chocontá,409,356,87.04
2009,CUNDINAMARCA,25200,Cogua,375,271,72.27
2009,CUNDINAMARCA,25214,Cota,398,287,72.11
2009,CUNDINAMARCA,25224,Cucunubá,176,129,73.30
2009,CUNDINAMARCA,25245,El Colegio,353,261,73.94
2009,CUNDINAMARCA,25258,El Peñón,75,57,76.00
2009,CUNDINAMARCA,25260,El Rosal,336,398,118.45
2009,CUNDINAMARCA,25269,Facatativa,2305,2418,104.90
2009,CUNDINAMARCA,25279,Fómeque,213,157,73.71
2009,CUNDINAMARCA,25281,Fosca,144,107,74.31
2009,CUNDINAMARCA,25286,Funza,1259,1213,96.35
2009,CUNDINAMARCA,25288,Fúquene,106,76,71.70
2009,CUNDINAMARCA,25290,Fusagasugá,2009,1947,96.91
2009,CUNDINAMARCA,25293,Gachalá,143,62,43.36
2009,CUNDINAMARCA,25295,Gachancipá,301,133,44.19
2009,CUNDINAMARCA,25297,Gachetá,203,123,60.59
2009,CUNDINAMARCA,25299,Gama,52,34,65.38
2009,CUNDINAMARCA,25307,Girardot,1562,1564,100.13
2009,CUNDINAMARCA,25312,Granada,163,86,52.76
2009,CUNDINAMARCA,25317,Guachetá,228,304,133.33
2009,CUNDINAMARCA,25320,Guaduas,663,338,50.98
2009,CUNDINAMARCA,25322,Guasca,271,206,76.01
2009,CUNDINAMARCA,25324,Guataquí,52,25,48.08
2009,CUNDINAMARCA,25326,Guatavita,126,68,53.97
2009,CUNDINAMARCA,25328,Guayabal de Siquima,69,39,56.52
2009,CUNDINAMARCA,25335,Guayabetal,83,75,90.36
2009,CUNDINAMARCA,25339,Gutiérrez,69,63,91.30
2009,CUNDINAMARCA,25368,Jerusalén,60,30,50.00
2009,CUNDINAMARCA,25372,Junín,147,68,46.26
2009,CUNDINAMARCA,25377,La Calera,440,242,55.00
2009,CUNDINAMARCA,25386,La Mesa,485,477,98.35
2009,CUNDINAMARCA,25394,La Palma,169,84,49.70
2009,CUNDINAMARCA,25398,La Peña,110,59,53.64
2009,CUNDINAMARCA,25402,La Vega,224,167,74.55
2009,CUNDINAMARCA,25407,Lenguazaque,210,220,104.76
2009,CUNDINAMARCA,25426,Machetá,122,80,65.57
2009,CUNDINAMARCA,25430,Madrid,1376,1523,110.68
2009,CUNDINAMARCA,25436,Manta,93,32,34.41
2009,CUNDINAMARCA,25438,Medina,233,192,82.40
2009,CUNDINAMARCA,25473,Mosquera,1369,1077,78.67
2009,CUNDINAMARCA,25483,Nariño,40,33,82.50
