FECHA_ID,UBICACION_ID,META,DOSIS APLICADAS,COBERTURA
1,288,573,518,90.4
1,289,271,211,77.9
1,290,793,561,70.7
1,291,299,226,75.6
1,292,372,255,68.5
1,293,3194,2318,72.6
1,294,103,92,89.3
1,295,130,112,86.2
1,296,175,156,89.1
1,297,254,225,88.6
1,298,1730,1623,93.8
1,299,728,650,89.3
2,1,359,261,72.7
2,2,40,23,57.5
2,3,54,50,92.6
2,4,548,343,62.6
2,5,486,424,87.2
2,6,836,494,59.1
2,7,133,67,50.4
2,8,298,151,50.7
2,9,337,323,95.8
2,10,160,121,75.6
2,11,3744,2228,59.5
2,12,886,461,52.0
2,13,229,140,61.1
2,14,89,45,50.6
2,15,920,532,57.8
2,16,7101,4777,67.3
2,17,149,89,59.7
2,18,195,164,84.1
2,19,357,299,83.8
2,20,187,176,94.1
2,21,148,104,70.3
2,22,907,810,89.3
2,23,206,117,56.8
2,24,1142,881,77.1
2,25,200,134,67.0
2,26,96,73,76.0
2,27,93,68,73.1
2,28,1242,932,75.0
2,29,64,48,75.0
2,30,2275,1667,73.3
2,31,385,191,49.6
2,32,164,117,71.3
2,33,552,473,85.7
2,34,275,202,73.5
2,35,64,53,82.8
2,36,447,260,58.2
2,37,914,544,59.5
2,38,612,451,73.7
2,39,245,145,59.2
2,40,1133,1082,95.5
2,41,911,498,54.7
2,42,461,489,106.1
2,43,177,102,57.6
2,44,2866,1376,48.0
2,45,387,360,93.0
2,46,422,391,92.7
2,47,86,64,74.4
2,48,873,526,60.3
2,49,224,138,61.6
2,50,186,114,61.3
2,51,104,93,89.4
2,52,852,449,52.7
2,53,96,61,63.5
2,54,123,65,52.8
2,55,84,69,82.1
2,56,281,158,56.2
2,57,223,133,59.6
2,58,871,636,73.0
2,59,991,388,39.2
2,60,128,106,82.8
2,61,364,270,74.2
2,62,171,121,70.8
2,63,135,121,89.6
2,64,986,615,62.4
2,65,29254,27082,92.6
2,66,124,85,68.5
2,67,86,44,51.2
2,68,433,376,86.8
2,69,359,179,49.9
2,70,539,626,116.1
2,71,1393,1339,96.1
2,72,65,42,64.6
2,73,224,131,58.5
2,74,334,237,71.0
2,75,158,109,69.0
2,76,794,663,83.5
