DEPARTAMENTO,CODIGO MUNICIPIO,MUNICIPIO,UBICACION_ID
ANTIOQUIA,5264.0,ENTRERRIOS,43
ANTIOQUIA,5266.0,ENVIGADO,44
ANTIOQUIA,5282.0,FREDONIA,45
ANTIOQUIA,5284.0,FRONTINO,46
ANTIOQUIA,5306.0,GIRALDO,47
ANTIOQUIA,5308.0,GIRARDOTA,48
ANTIOQUIA,5310.0,GOMEZ PLATA,49
ANTIOQUIA,5313.0,GRANADA,50
ANTIOQUIA,5315.0,GUADALUPE,51
ANTIOQUIA,5318.0,GUARNE,52
ANTIOQUIA,5321.0,GUATAPE,53
ANTIOQUIA,5347.0,HELICONIA,54
ANTIOQUIA,5353.0,HISPANIA,55
ANTIOQUIA,5364.0,JARDIN,56
ANTIOQUIA,5368.0,JERICO,57
ANTIOQUIA,5376.0,LA CEJA,58
ANTIOQUIA,5380.0,LA ESTRELLA,59
ANTIOQUIA,5390.0,LA PINTADA,60
ANTIOQUIA,5400.0,LA UNION,61
ANTIOQUIA,5411.0,LIBORINA,62
ANTIOQUIA,5425.0,MACEO,63
ANTIOQUIA,5440.0,MARINILLA,64
ANTIOQUIA,5001.0,MEDELLIN,65
ANTIOQUIA,5467.0,MONTEBELLO,66
ANTIOQUIA,5475.0,MURINDO,67
ANTIOQUIA,5480.0,MUTATA,68
ANTIOQUIA,5483.0,NARIÑO,69
ANTIOQUIA,5495.0,NECHI,70
